Discharge Time (s),Decrement 3.6-3.4V (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
2222.62,840,4.045,3.379,5083.359,6056.36,9112.39,1078
2221.02,842.406,4.046,3.378,5076.266,6049.28,9112.14,1077
2220.19,840,4.046,3.378,5076.344,6049.38,9136.16,1076
2218.41,837.594,4.046,3.393,5069.313,6042.31,9101.06,1075
2216.89,835.203,4.046,3.379,5062.375,6035.36,9112.24,1074
2214.97,825.594,4.025,3.604,5026.312,5999,9212.78,1073
2219.75,828,4.041,3.686,5020.312,6000.31,9174.41,1072
2222.5,835.188,4.045,3.382,5058.797,6035.28,9125.16,1071
2220.53,832.813,4.045,3.379,5069.375,6049.38,9155.72,1070
2217.28,830.407,4.045,3.379,5062.375,6035.38,9115.94,1069
2214.66,828,4.045,3.381,5048.343,6028.34,9122.81,1068
2211.25,828,4.044,3.381,5041.25,6021.25,9074.06,1067
2210.59,828,4.045,3.381,5034.375,6014.38,9118.03,1066
2208.56,825.594,4.045,3.382,5030.734,6007.22,9098.56,1065
2206.88,823.219,4.045,3.382,5027.281,6000.25,9091.78,1064
2203.19,820.812,4.045,3.383,5020.375,5993.38,9083.59,1063
2202.53,820.782,4.045,3.384,5013.375,5986.38,9089.47,1062
2200.34,816,4.044,3.386,5006.344,5979.34,9089.41,1061
2198.19,816,4.044,3.385,4999.219,5972.22,9067.53,1060
2197,813.593,4.044,3.387,4992.25,5965.25,9074.62,1059
2195.94,813.593,4.044,3.387,4988.8595,5965.38,9079.66,1058
2194.12,811.219,4.044,3.387,4985.344,5958.34,9049.97,1057
2192.56,813.594,4.044,3.388,4978.281,5958.28,9049.44,1056
2190.75,811.218,4.044,3.387,4978.313,5951.31,9029.53,1055
2189.5,808.813,4.044,3.388,4971.375,5944.38,9049.91,1054
2188.19,806.437,4.044,3.389,4964.313,5937.31,9059.31,1053
2186.25,806.438,4.043,3.391,4960.8435,5937.38,9027.75,1052
2185.56,806.375,4.043,3.39,4957.375,5930.38,9015.12,1051
2185.12,806.438,4.043,3.39,4957.375,5930.38,9051.06,1050
2179.06,789.562,4.022,3.625,4921.375,5894,9069.94,1049
2182.56,793.2,4.004,3.381,5213.92,6200.32,9459.46,1047
2182.62,798,4.007,3.395,4969.152,5912.35,9114.85,1046
2180.13,797.6,4.007,3.394,4969.1784,5912.35,9093.92,1045
2177.34,795,4.008,3.394,4961.92,5912.32,9058.18,1044
2175.17,795,4.007,3.395,4954.783,5912.38,9064.41,1043
2173.44,793,4.008,3.398,4947.551,5912.35,9080.74,1042
2170.56,789.6,4.008,3.397,4940.32,5912.32,9060.73,1041
2168.26,789.6,4.008,3.399,4933.121,5876.32,9048.26,1040
2165.54,788,4.008,3.399,4928.32,5876.32,9027.49,1039
2163.77,786,4.008,3.401,4918.791,5876.39,9027.52,1038
2162.18,783.6,4.008,3.401,4916.321,5876.32,9008.32,1037
2160.17,786,4.008,3.401,4911.551,5876.35,9000.64,1036
2158.66,784,4.008,3.401,4910.359,5876.36,9023.48,1035
2155.94,780,4.007,3.402,4904.328,5876.33,8968.09,1034
2154.69,782.4,4.008,3.402,4897.159,5840.36,8974.28,1033
2152.42,782.4,4.008,3.403,4889.913,5840.31,8965.95,1032
2151.42,782.4,4.008,3.405,4882.728,5840.33,8962.08,1031
2149.92,778.4,4.008,3.403,4880.343,5840.34,8958.81,1030
2148.48,778.4,4.008,3.404,4875.513,5840.31,8930.36,1029
2147.39,776.4,4.008,3.404,4868.328,5840.33,8962.02,1028
2145.83,777,4.008,3.405,4868.266,5840.27,8942.92,1027
2144.58,775,4.008,3.404,4862.312,5804.31,8963.16,1026
2142.5,772.8,4.008,3.405,4856.328,5804.33,8947.59,1025
2147.06,763.218,4.018,3.653,4816.312,5788.97,9007.12,1024
2145.16,766,4.003,3.731,4808.344,5768.34,9026.06,1023
2147.28,774,4.006,3.41,4853.944,5804.34,8977.31,1022
2145.28,772.8,4.007,3.406,4861.144,5804.34,8974.09,1021
2143.12,774,4.008,3.407,4853.943,5804.34,8977.41,1020
2140.53,770,4.008,3.407,4846.744,5804.34,8960.47,1019
2138.88,770,4.008,3.407,4839.513,5804.31,8950.19,1018
2137.31,768,4.007,3.407,4838.375,5804.38,8971.72,1017
2135.19,769.2,4.007,3.408,4832.375,5804.38,8927.5,1016
2133.34,769,4.007,3.408,4825.144,5768.34,8944.38,1015
2130.69,765.6,4.007,3.408,4817.944,5768.34,8896.53,1014
2128.56,768,4.007,3.409,4810.744,5768.34,8901.75,1013
2126.97,762,4.006,3.41,4803.513,5768.31,8899.03,1012
2125.78,762,4.006,3.411,4796.313,5768.31,8913.22,1011
2124.41,764.4,4.006,3.411,4796.375,5768.38,8916.5,1010
2122.03,762.4,4.005,3.411,4789.1502,5732.34,8875.09,1009
2112,759,4.005,3.411,4781.943,5732.34,8892.59,1008
2118.81,760.8,4.006,3.413,4774.744,5732.34,8892.44,1007
2117.62,756.8,4.006,3.412,4767.513,5732.31,8905.44,1006
2115.12,757.2,4.005,3.414,4766.375,5732.38,8854.25,1005
2114.31,755.2,4.006,3.414,4760.375,5732.38,8898.38,1004
2112.31,753,4.005,3.414,4753.175,5696.38,8870.56,1003
2111.19,753,4.005,3.414,4748.375,5696.38,8860.06,1002
2100.94,748.8,3.991,3.415,4745.975,6147.88,8766.5,1001
2109.81,739.187,4.014,3.674,4690.25,5656,8884.06,1000
2124.61,751.2,3.998,3.397,5066.256,6056.26,9425.95,998
2124.16,752,3.999,3.415,4778.321,5732.32,8951.84,997
2121.79,751.998,4,3.415,4781.824,5732.22,8950.82,996
2119.97,749.6,4.001,3.417,4772.352,5732.35,8959.65,995
2117.7,747.6,4.001,3.417,4767.552,5732.35,8965.47,994
2114.24,747.6,4.001,3.419,4760.352,5696.35,8932.74,993
2111.11,744,4.001,3.419,4753.152,5696.35,8918.18,992
2107.84,744,4.001,3.421,4742.32,5696.32,8919.01,991
2105.28,740,4.001,3.421,4731.52,5696.32,8897.66,990
2102.91,738,4.001,3.422,4724.352,5660.35,8913.22,989
2100.16,740.4,4.001,3.423,4717.121,5660.32,8882.59,988
2098.37,738.4,4.001,3.424,4709.92,5660.32,8886.08,987
2095.59,734.4,4.001,3.425,4702.743,5660.34,8857.02,986
2093.19,735,4.001,3.424,4695.59,5660.39,8846.05,985
2091.2,736.8,4.001,3.425,4688.328,5624.33,8845.25,984
2089,732.8,4.001,3.426,4681.05,5624.25,8839.94,983
2086.91,732,4.001,3.427,4673.959,5624.36,8834.91,982
2084.55,731.2,4.001,3.426,4666.713,5624.31,8807.3,981
2083.19,731.2,4.001,3.427,4659.512,5624.31,8812.31,980
2081.8,727.2,4.001,3.428,4652.312,5588.31,8816.34,979
2079.97,727.2,4.001,3.427,4652.281,5588.28,8807.45,978
2078.72,727.2,4.001,3.428,4645.191,5588.39,8820.2,977
2076.91,729.6,4.001,3.427,4640.359,5588.36,8797.52,976
2078.66,717.593,4.01,3.68,4592.375,5558,8897.53,975
2077.22,717.6,3.996,3.76,4574.344,5516.34,8858.62,974
2080.69,725.6,3.999,3.433,4634.344,5588.34,8807.22,973
2079.28,725.6,4,3.429,4645.144,5588.34,8828.72,972
2076.56,723.6,4,3.429,4637.913,5588.31,8812.88,971
2074.47,726,4,3.429,4630.743,5588.34,8809.44,970
2071.62,720,4,3.431,4623.606,5588.41,8778,969
2070.34,722.4062,3.999,3.43,4616.312,5552.31,8808.19,968
2069.03,722.4,4,3.43,4609.144,5552.34,8804.88,967
2067.62,722.3938,4,3.431,4604.313,5552.31,8805.75,966
2065.16,720.8,3.999,3.43,4601.913,5552.31,8784.09,965
2063.19,716.7814,3.999,3.431,4592.312,5552.31,8806.03,964
2060.94,715.2,3.999,3.432,4586.344,5552.34,8776.62,963
2058.47,716.99225,3.999,3.433,4574.312,5516.31,8743.38,962
2056.81,713.6,3.998,3.433,4573.144,5516.34,8739.5,961
2056.25,713.6,3.999,3.433,4565.913,5516.31,8781.31,960
2054.41,713.6,3.998,3.434,4562.375,5516.38,8763.88,959
2052.81,711.6,3.998,3.434,4558.743,5516.34,8734.62,958
2051.94,711.6,3.998,3.435,4551.512,5516.31,8772.62,957
2050.28,712,3.998,3.435,4550.406,5516.41,8748.69,956
2049.09,708,3.998,3.435,4544.25,5480.25,8772.62,955
2047.5,708,3.998,3.435,4544.375,5480.38,8766.19,954
2045.5,706.4,3.997,3.437,4537.113,5480.31,8747.12,953
2043.88,706.4,3.998,3.436,4532.313,5480.31,8719.94,952
2043.88,696,4.007,3.691,4487.312,5453.06,8809.94,951
2063.62,704.8,3.992,3.778,4422.048,5408.45,8837.34,950
2063.94,709.6,3.994,3.437,4580.321,5516.32,8844.64,949
2060.42,705.6,3.994,3.437,4586.383,5516.38,8830.3,948
2056.9,705.6,3.995,3.437,4574.383,5516.38,8792.38,947
2054.37,705.6,3.995,3.437,4565.916,5516.32,8818.78,946
2051.17,704,3.995,3.438,4556.339333,5516.32,8789.41,945
2047.81,702,3.995,3.438,4550.352,5480.35,8762.31,944
2045.38,702.4,3.994,3.44,4537.152,5480.35,8773.66,943
2042.37,698.3936,3.994,3.441,4529.959,5480.36,8741.28,942
2039.71,698.4,3.995,3.441,4522.721,5480.32,8740.1,941
2036.9,694.4,3.994,3.442,4514.32,5444.32,8750.37,940
2035.27,694.8,3.995,3.442,4508.352,5444.35,8747.84,939
2033.47,694.8,3.994,3.443,4501.121,5444.32,8731.49,938
2032,692.8,3.994,3.443,4493.9722,5444.34,8720.34,937
2030.14,692.8,3.995,3.443,4486.728,5444.33,8684.33,936
2028,688.8,3.995,3.444,4484.375,5408.38,8706.36,935
2026.05,691.2,3.994,3.444,4478.25,5408.25,8705.12,934
2024.38,687.2020667,3.994,3.444,4472.312,5408.31,8708.16,933
2022.75,689.6,3.994,3.445,4460.344,5408.34,8713.08,932
2020.77,687.6,3.994,3.445,4454.328,5408.33,8698.22,931
2020.39,686.99225,3.995,3.445,4450.744,5408.34,8709.16,930
2018.94,687.6,3.994,3.445,4448.36,5408.36,8701.61,929
2018.08,685.6,3.994,3.446,4443.559,5372.36,8710.62,928
2017.06,676.813,4.003,3.697,4389.344,5355,8766.66,927
2016.22,676,3.989,3.773,4370.343,5336.34,8762.41,926
2021.81,685,3.993,3.451,4436.344,5372.34,8703.72,925
2020.78,685.6,3.994,3.447,4454.375,5408.38,8719.75,924
2018.25,684,3.993,3.446,4448.375,5372.38,8714.94,923
2016.12,686.4,3.993,3.446,4442.344,5372.34,8699.53,922
2014.19,682.3855333,3.993,3.447,4436.343,5372.34,8691.94,921
2012.34,680.4,3.993,3.448,4429.175,5372.38,8698.09,920
2010.22,680.8,3.993,3.448,4421.943,5372.34,8691.31,919
2008.03,676.8,3.993,3.448,4414.775,5372.38,8680.53,918
2006.38,676.8,3.993,3.449,4412.312,5336.31,8661.19,917
2004.31,676.8,3.993,3.449,4406.375,5336.38,8664.91,916
2003.25,675.2,3.992,3.449,4400.375,5336.38,8675.59,915
2001.22,675.2,3.992,3.45,4393.144,5336.34,8663.38,914
1999.81,675.5752,3.991,3.451,4388.312,5336.31,8671.97,913
1998.75,673.6,3.992,3.451,4382.328,5336.34,8668.19,912
1997.06,673.6,3.992,3.451,4378.713,5336.31,8680.31,911
1996,672,3.992,3.451,4371.419,5300.22,8657.47,910
1994.91,672,3.992,3.451,4370.313,5300.31,8638.31,909
1993.31,672,3.991,3.451,4364.344,5300.34,8636.97,908
1992.16,670.4,3.991,3.451,4364.375,5300.38,8640.56,907
1990.62,670.4,3.991,3.451,4357.082,5300.28,8640.44,906
1989.94,666.4,3.991,3.453,4349.913,5300.31,8681.19,905
1987.56,668.8,3.991,3.453,4346.3435,5300.31,8610,904
1985.56,657.625,3.999,3.702,4298.375,5257.06,8737.12,903
2010.88,666,3.983,3.434,4796.352,5804.35,9386.14,901
2014.4,674.4,3.987,3.458,4412.479,5336.48,8762.21,900
2012.29,672,3.987,3.456,4421.921,5372.32,8765.15,899
2009.31,668,3.987,3.458,4414.752,5336.35,8738.72,898
2006.66,668,3.987,3.458,4406.321,5336.32,8725.21,897
2003.97,668,3.988,3.458,4400.351,5336.35,8736.58,896
2000.64,666,3.988,3.458,4393.151,5336.35,8712.19,895
1998.11,660,3.988,3.459,4382.382,5300.38,8707.16,894
1995.24,662.4,3.987,3.46,4376.352,5300.35,8718.31,893
1992.42,662.4,3.987,3.46,4364.351,5300.35,8691.45,892
1989.82,658.4,3.987,3.46,4357.05,5300.25,8684.06,891
1986.75,658.8,3.987,3.461,4349.951,5300.35,8650.37,890
1985.02,656.8,3.987,3.461,4340.383,5264.38,8667.87,889
1982.75,656.8,3.988,3.461,4334.344,5264.34,8624.83,888
1981.09,656.8,3.988,3.461,4328.329,5264.33,8654.41,887
1978.81,654,3.987,3.462,4321.128,5264.36,8622.47,886
1976.89,655.2,3.987,3.461,4313.959,5264.36,8656.77,885
1974.08,652,3.987,3.462,4306.713,5228.31,8620.47,884
1972.78,652,3.987,3.462,4299.512,5228.31,8642.33,883
1971.36,653.6,3.987,3.482,4292.344,5228.34,8640.55,882
1969.59,651.6,3.987,3.463,4286.344,5228.34,8621.08,881
1968.67,651.6,3.987,3.463,4280.344,5228.34,8648.67,880
1966.28,650,3.987,3.463,4277.943,5228.34,8596.86,879
1962.97,640.812,3.994,3.702,4214.281,5172.98,8750,878
1962.94,640,3.981,3.781,4184.344,5120.34,8671.41,877
1969.38,648,3.986,3.469,4263.512,5192.31,8630.66,876
1968.06,652,3.986,3.464,4280.375,5228.38,8619.94,875
1966.09,648,3.986,3.464,4277.9254,5228.31,8622.12,874
1963.03,646.4,3.986,3.464,4270.775,5192.38,8609.84,873
1961.22,644.4,3.986,3.464,4262.312,5192.31,8647.53,872
1958.5,644.8,3.985,3.465,4256.406,5192.41,8616.53,871
1956.41,642,3.985,3.466,4244.344,5192.34,8615.66,870
1955.03,640.8,3.986,3.466,4238.343,5156.34,8619.97,869
1953.62,642,3.986,3.465,4232.313,5156.31,8601.12,868
1951.09,643.232,3.986,3.466,4227.513,5156.31,8593.88,867
1950.19,639.2,3.985,3.466,4220.313,5156.31,8615.75,866
1948.62,640,3.985,3.466,4220.344,5156.34,8600.94,865
1946.91,639.6,3.985,3.466,4213.175,5156.38,8576.12,864
1945.41,637.6,3.985,3.467,4208.375,5156.38,8613.12,863
1943.84,638,3.985,3.467,4198.712,5120.31,8592.59,862
1942.44,636,3.984,3.468,4196.313,5120.31,8568.91,861
1941.44,636,3.984,3.468,4190.282,5120.28,8556.66,860
1940.31,636.032,3.984,3.467,4184.313,5120.31,8569.16,859
1938.59,634.4,3.984,3.467,4184.25,5120.25,8534.22,858
1937.28,632.4,3.984,3.468,4177.206,5120.41,8578.84,857
1935.62,632.8,3.983,3.468,4169.944,5120.34,8583.72,856
1932,634,3.983,3.47,4166.375,5084.38,8580.88,855
1928.62,624,3.991,3.709,4102.375,5061,8671.06,854
1936.42,628,3.977,3.787,4061.952,5012.35,8612.35,853
1936.8,628.8,3.979,3.472,4169.856,5084.26,8606.98,852
1939.39,633.6,3.982,3.471,4169.918,5084.32,8613.47,851
1937.95,633.6,3.982,3.469,4177.054,5120.25,8611.84,850
1934.85,630,3.982,3.469,4172.32,5084.32,8576.74,849
1934.24,630,3.982,3.471,4166.227,5084.23,8597.22,848
1932,628,3.982,3.47,4162.72,5084.32,8594.79,847
1930.66,628,3.981,3.47,4155.551,5084.35,8607.04,846
1927.2,626.4,3.98,3.471,4148.351,5084.35,8560.48,845
1926.2,626.4,3.981,3.471,4141.151,5084.35,8581.86,844
1923.91,624.8,3.98,3.473,4136.25,5048.25,8543.45,843
1922.37,624.8,3.98,3.471,4133.889,5048.29,8566.4,842
1921.02,622,3.98,3.471,4124.352,5048.35,8548.57,841
1919.56,622,3.98,3.472,4119.544,5048.34,8567.36,840
1918.12,623.2,3.98,3.473,4118.36,5048.36,8553.19,839
1916.39,619.2124,3.98,3.473,4112.36,5048.36,8557.92,838
1914.77,620,3.979,3.473,4106.235,5048.23,8537.67,837
1913.31,621.6,3.98,3.474,4105.113,5012.31,8547.91,836
1912,617.6,3.979,3.473,4097.944,5012.34,8552.03,835
1910.05,620,3.979,3.474,4090.744,5012.34,8519.27,834
1908.97,620,3.979,3.475,4088.343,5012.34,8513.31,833
1908.06,616,3.979,3.475,4085.7,5014.5,8529.51,832
1906.72,616,3.979,3.475,4082.344,5012.34,8489.94,831
1904,609.593,3.987,3.712,4011.203,4970.02,8630.66,830
1907.16,611.2,3.976,3.789,3982.712,4940.31,8589.75,829
1908.06,614.4,3.978,3.48,4076.312,5012.31,8566,828
1908.34,614.4,3.978,3.478,4076.343,5012.34,8534.06,827
1908.62,616,3.979,3.477,4082.375,5012.38,8532.47,826
1907.03,616,3.979,3.476,4076.313,5012.31,8545.47,825
1903.66,614.4,3.979,3.476,4070.344,5012.34,8523.25,824
1900.97,612,3.978,3.478,4061.912,4976.31,8496.94,823
1900.5,612,3.979,3.478,4054.618,4976.22,8533.19,822
1898.62,608,3.979,3.479,4052.375,4976.38,8546.41,821
1896.72,608.8,3.979,3.479,4046.312,4976.31,8509.81,820
1895.94,608.8,3.978,3.479,4040.375,4976.38,8536.88,819
1894.53,608.8,3.979,3.479,4034.375,4976.38,8510.03,818
1893.53,610,3.979,3.479,4033.019,4940.22,8541.72,817
1890.94,607.2,3.978,3.478,4025.975,4940.38,8508.56,816
1889.97,608,3.978,3.48,4018.713,4940.31,8522.81,815
1888.47,605.6,3.978,3.48,4016.343,4940.34,8492.47,814
1886.81,606,3.978,3.48,4011.575,4940.38,8492.09,813
1885.31,604.0213333,3.977,3.48,4010.375,4940.38,8464.12,812
1885.44,604,3.978,3.48,4004.375,4940.38,8518.72,811
1883.34,600,3.977,3.48,3998.344,4940.34,8517.88,810
1881.53,602,3.977,3.481,3992.344,4904.34,8495.53,809
1879.31,598.4,3.977,3.482,3989.975,4904.38,8457.62,808
1877.69,598.4,3.977,3.482,3982.712,4904.31,8484.19,807
1873.94,595.188,3.984,3.714,3906.312,4865,8602.12,806
1912.74,604,3.973,3.474,4529.92,5552.32,9509.6,804
1919.26,614,3.977,3.486,4106.352,5012.35,8624.83,803
1918.98,614,3.977,3.484,4124.32,5048.32,8596.48,802
1916.86,613.6,3.978,3.484,4124.321,5048.32,8564.38,801
1915.1,612,3.978,3.485,4118.351,5048.35,8580.9,800
1911.9,613.6,3.978,3.485,4112.32,5048.32,8540.1,799
1909.73,608,3.978,3.485,4105.023,5012.22,8550.15,798
1906.81,609.6,3.978,3.485,4097.92,5012.32,8512.1,797
1903.68,606,3.978,3.485,4088.321,5012.32,8521.09,796
1913.92,618,3.981,3.486,4076.352,5012.35,8533.6,795
1899.74,609.6,3.979,3.48,4112.313,5012.31,8526.72,794
1895.55,604,3.978,3.486,4064.32,4976.32,8489.34,793
1892.89,604,3.978,3.486,4052.321,4976.31,8481.77,792
1890.51,602,3.978,3.487,4040.344,4976.34,8482.88,791
1887.95,602.4,3.977,3.486,4034.312,4940.31,8462.11,790
1884,602.4,3.978,3.487,4025.944,4940.34,8482.75,789
1885.31,598.4,3.978,3.487,4018.744,4940.34,8510.02,788
1883.25,600,3.978,3.488,4011.513,4940.31,8505.31,787
1880.84,600.8,3.978,3.487,4004.312,4940.31,8481.28,786
1879.36,596.8,3.978,3.488,3998.321167,4904.28,8487.75,785
1877.01,598,3.977,3.487,3992.344,4904.34,8447.61,784
1875.33,595.2,3.977,3.488,3986.375,4904.38,8475.12,783
1872.2,594,3.976,3.488,3980.36,4904.36,8480.42,782
1864.94,590.375,3.982,3.711,3892.344,4844,8606.99,781
1868.56,588,3.971,3.791,3860.375,4796.38,8546.41,780
1874.72,596,3.975,3.493,3956.344,4868.34,8496.25,779
1873.47,594,3.976,3.489,3975.513,4904.31,8478.94,778
1870.91,592,3.976,3.489,3974.219,4904.22,8453.25,777
1868.25,592,3.976,3.488,3962.218,4868.22,8495.88,776
1864.75,590.4,3.975,3.49,3956.375,4868.38,8464,775
1862.91,590.4,3.976,3.49,3944.313,4868.31,8461.66,774
1860.75,588,3.976,3.491,3938.406,4868.41,8446.72,773
1859.22,588,3.976,3.49,3932.343,4832.34,8451,772
1857.72,584,3.975,3.491,3925.175,4832.38,8439.19,771
1855.88,584.8,3.976,3.49,3920.344,4832.34,8440.94,770
1854.25,586,3.975,3.491,3917.913,4832.31,8412.03,769
1852.38,582,3.976,3.491,3908.375,4832.38,8413.03,768
1850.19,583.2,3.975,3.491,3902.375,4832.38,8395.34,767
1849.16,581,3.975,3.492,3896.25,4796.25,8419.62,766
1845.72,578,3.975,3.492,3889.113,4796.31,8397.84,765
1845.12,580,3.975,3.493,3878.344,4796.34,8430.84,764
1843.44,580,3.974,3.492,3872.344,4796.34,8410.62,763
1842.16,579,3.974,3.492,3867.512,4796.31,8398.16,762
1841.44,581,3.974,3.494,3866.219,4796.22,8424.72,761
1839.44,578.4,3.974,3.492,3860.313,4796.31,8393.69,760
1837.59,576,3.974,3.493,3854.344,4760.34,8408.03,759
1833.31,572,3.973,3.493,3848.313,4760.31,8409,758
1824.88,566.437,3.978,3.712,3759.438,4711,8528.44,757
1836.96,570,3.966,3.799,3687.392,4652.19,8487.26,756
1840.29,572,3.969,3.498,3860.352,4760.35,8420,755
1839.71,572,3.97,3.496,3872.352,4796.35,8429.73,754
1836.03,570,3.97,3.495,3866.353,4760.35,8389.41,753
1833.57,570,3.97,3.496,3854.352,4760.35,8388.13,752
1831.29,570.4,3.97,3.497,3845.951,4760.35,8370.62,751
1829.09,568,3.97,3.497,3842.387,4760.39,8359.2,750
1828.03,568,3.97,3.497,3831.583,4760.38,8381.18,749
1825.73,568,3.97,3.497,3824.258,4724.26,8389.31,748
1823.49,566,3.97,3.498,3824.195,4724.2,8383.59,747
1822.09,566,3.97,3.498,3812.383,4724.38,8379.93,746
1820.61,566,3.97,3.498,3809.788,4724.19,8393.53,745
168,342.8571429,3.97,3.499,3806.508,4724.51,8355.43,744
1799.55,556.8,3.968,3.983,1112.25,2024.25,5742.11,727
1796.76,554,3.967,3.503,3728.312,4652.34,8320.41,726
1794.86,551.2,3.967,3.502,3722.333333,4616.33,8330.28,725
1793.03,552,3.967,3.503,3716.359,4616.36,8341.83,724
1791.58,551,3.967,3.503,3709.222,4616.42,8352.58,723
1789.64,549.6,3.967,3.504,3704.359,4616.36,8351.62,722
1787.78,550,3.967,3.504,3694.791,4616.39,8339.66,721
1785.31,548,3.967,3.505,3687.559,4580.36,8285.64,720
1784.06,548,3.967,3.506,3680.344,4580.34,8329.5,719
1782.72,544,3.967,3.505,3680.328,4580.33,8340.91,718
1781.61,546,3.967,3.506,3673.16,4580.36,8350.89,717
1779.66,544.9741667,3.967,3.506,3668.234,4580.23,8300.17,716
1778.47,545,3.967,3.505,3662.312,4580.31,8287.17,715
1776.78,544,3.966,3.506,3658.712,4580.31,8308.5,714
1775.88,544,3.966,3.507,3651.512,4580.31,8278.44,713
1774.22,542,3.966,3.506,3650.375,4544.38,8277.81,712
1771.25,539.2,3.965,3.507,3644.312,4544.31,8279.94,711
1761.69,537.594,3.968,3.724,3542.406,4494,8451.81,710
1792.48,536,3.955,3.481,4270.751,5300.35,9707.74,708
1799.46,544.8186,3.96,3.521,3724.561,4618.56,8461.89,707
1800.26,546,3.96,3.518,3744.993,4652.19,8404.42,706
1799.68,544,3.961,3.517,3745.121,4652.32,8410.79,705
1797.15,544,3.961,3.518,3740.352,4652.35,8358.88,704
1795.14,544,3.962,3.517,3737.822,4652.22,8360.35,703
1793.12,540,3.961,3.516,3728.285,4616.29,8377.02,702
1790.88,540,3.961,3.517,3716.352,4616.35,8378.31,701
1788.29,540,3.962,3.517,3710.289,4616.29,8346.41,700
1786.27,542,3.962,3.517,3701.92,4616.32,8371.49,699
1782.91,539,3.962,3.518,3692.352,4580.35,8339.84,698
1779.75,540,3.961,3.517,3686.352,4580.35,8345.21,697
1777,538,3.961,3.517,3674.383,4580.38,8309.89,696
1774.34,536,3.961,3.516,3665.96,4580.36,8342.41,695
1771.66,534,3.961,3.517,3656.328,4544.33,8301.16,694
1769.25,534,3.96,3.517,3644.329,4544.33,8317.92,693
1766.23,533,3.961,3.517,3637.019,4544.22,8301.03,692
1764.42,532,3.96,3.517,3626.343,4544.34,8331.61,691
1761.23,530,3.96,3.518,3615.419,4508.22,8298.66,690
1759.58,532,3.959,3.518,3608.344,4508.34,8313.5,689
1756.42,530,3.959,3.519,3602.328,4508.33,8266.09,688
1753.83,527.01175,3.959,3.518,3593.959,4508.36,8258.47,687
1751.08,526,3.959,3.518,3586.744,4472.34,8301.95,686
1737.91,525.594,3.961,3.726,3465.375,4416.99,8468.41,685
1746.22,522,3.953,3.809,3428.281,4364.28,8393.12,684
1750.38,526,3.958,3.523,3565.144,4472.34,8301.91,683
1749.59,524,3.959,3.521,3579.544,4472.34,8279.5,682
1747.2,526,3.958,3.524,3536.319,4436.32,8197.41,679
1746.37,526,3.959,3.52,3566.319,4472.32,8239.94,678
1745.12,526,3.959,3.519,3565.12,4472.32,8231.58,677
1742.3,525,3.959,3.519,3557.952,4472.35,8252.35,676
1740.35,522,3.959,3.52,3548.351,4436.35,8252.96,675
1738.17,521,3.959,3.519,3536.32,4436.32,8265.86,674
1734.18,520,3.959,3.519,3529.155,4436.35,8199.75,673
1731.94,517.2857143,3.958,3.52,3518.321,4436.32,8210.62,672
1729.31,516,3.958,3.521,3512.352,4400.35,8228.06,671
